customer_id,segment,txn_year,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total_score,rfm_segment
C00197,VIP,2023,8,14,2530.54,5,5,5,15,Champion
C00279,VIP,2023,22,14,1153.42,5,5,5,15,Champion
C00713,VIP,2023,13,13,1489.43,5,5,5,15,Champion
C00994,VIP,2023,11,15,1609.65,5,5,5,15,Champion
C01713,VIP,2023,13,15,1761.75,5,5,5,15,Champion
C01987,Premium,2023,5,14,1684.57,5,5,5,15,Champion
C02155,VIP,2023,2,18,1274.34,5,5,5,15,Champion
C02681,VIP,2023,23,13,1166.22,5,5,5,15,Champion
C02690,VIP,2023,28,13,1234.35,5,5,5,15,Champion
C02949,VIP,2023,12,15,2321.23,5,5,5,15,Champion
C03011,VIP,2023,5,13,1183.2,5,5,5,15,Champion
C03090,VIP,2023,29,13,1348.89,5,5,5,15,Champion
C03907,VIP,2023,30,14,2323.61,5,5,5,15,Champion
C04068,VIP,2023,6,16,1022.85,5,5,5,15,Champion
C04197,VIP,2023,10,15,1286.64,5,5,5,15,Champion
C04273,VIP,2023,30,13,1139.65,5,5,5,15,Champion
C04973,VIP,2023,18,13,1638.99,5,5,5,15,Champion
C05036,VIP,2023,5,13,1205.23,5,5,5,15,Champion
C05143,VIP,2023,0,15,2018.77,5,5,5,15,Champion
C05846,VIP,2023,3,16,1120.51,5,5,5,15,Champion
C06291,VIP,2023,18,13,1110.74,5,5,5,15,Champion
C06381,VIP,2023,16,15,1405.56,5,5,5,15,Champion
C06648,VIP,2023,3,13,1252.53,5,5,5,15,Champion
C06821,VIP,2023,0,14,1442.85,5,5,5,15,Champion
C07307,Premium,2023,14,13,1636.94,5,5,5,15,Champion
C07591,VIP,2023,4,16,1195.81,5,5,5,15,Champion
C08191,VIP,2023,6,13,1088.01,5,5,5,15,Champion
C08291,VIP,2023,16,13,1893.77,5,5,5,15,Champion
C08444,VIP,2023,5,14,2466.77,5,5,5,15,Champion
C09257,VIP,2023,3,13,1147.27,5,5,5,15,Champion
C00109,VIP,2023,1,12,2349.8,5,4,5,14,Champion
C00190,VIP,2023,35,13,2111.35,4,5,5,14,Champion
C00225,VIP,2023,0,13,863.72,5,5,4,14,Champion
C00369,VIP,2023,7,10,1747.99,5,4,5,14,Champion
C00419,VIP,2023,20,11,1517.42,5,4,5,14,Champion
C00430,VIP,2023,11,14,962.97,5,5,4,14,Champion
C00502,VIP,2023,10,14,502.73,5,5,4,14,Champion
C00550,Regular,2023,16,11,1180.09,5,4,5,14,Champion
C00578,VIP,2023,10,13,534.3,5,5,4,14,Champion
C00602,VIP,2023,16,14,549.93,5,5,4,14,Champion
C00656,VIP,2023,0,8,1530.6,5,4,5,14,Champion
C00661,VIP,2023,18,9,1581.54,5,4,5,14,Champion
C00757,VIP,2023,10,9,1137.39,5,4,5,14,Champion
C00816,VIP,2023,12,13,945.89,5,5,4,14,Champion
C00831,Regular,2023,29,8,1574.57,5,4,5,14,Champion
C00927,VIP,2023,7,9,1179.59,5,4,5,14,Champion
C01033,VIP,2023,11,11,1420.12,5,4,5,14,Champion
C01098,VIP,2023,14,10,1297.02,5,4,5,14,Champion
C01147,Premium,2023,13,9,1210.29,5,4,5,14,Champion
C01228,VIP,2023,2,8,1067.31,5,4,5,14,Champion
C01335,VIP,2023,54,15,1021.2,4,5,5,14,Champion
C01453,VIP,2023,8,14,923.89,5,5,4,14,Champion
C01637,VIP,2023,24,10,1251.23,5,4,5,14,Champion
C01648,VIP,2023,15,13,594.48,5,5,4,14,Champion
C01727,VIP,2023,22,10,1220.11,5,4,5,14,Champion
C01732,Premium,2023,4,8,1125.76,5,4,5,14,Champion
C01744,Premium,2023,4,9,1489.99,5,4,5,14,Champion
C01828,VIP,2023,15,10,1078.03,5,4,5,14,Champion
C01945,VIP,2023,9,8,1579.53,5,4,5,14,Champion
C01949,VIP,2023,10,12,1457.2,5,4,5,14,Champion
C02105,Premium,2023,18,11,1145.07,5,4,5,14,Champion
C02140,VIP,2023,3,14,584.06,5,5,4,14,Champion
C02300,VIP,2023,15,17,991.39,5,5,4,14,Champion
C02351,VIP,2023,4,16,685.68,5,5,4,14,Champion
C02363,VIP,2023,13,12,1391.64,5,4,5,14,Champion
C02424,VIP,2023,5,9,1263.8,5,4,5,14,Champion
C02536,Premium,2023,11,9,1006.92,5,4,5,14,Champion
C02848,Premium,2023,2,10,1880.69,5,4,5,14,Champion
C02901,VIP,2023,18,11,1169.99,5,4,5,14,Champion
C03016,VIP,2023,30,11,1612.74,5,4,5,14,Champion
C03074,VIP,2023,0,8,1475.12,5,4,5,14,Champion
C03129,VIP,2023,28,13,968.47,5,5,4,14,Champion
C03199,VIP,2023,3,9,1497.44,5,4,5,14,Champion
C03304,Premium,2023,13,10,1145.69,5,4,5,14,Champion
